Symbol,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,Tether USD
BNB-USD,BinanceCoin USD
ADA-USD,Cardano USD
XRP-USD,XRP USD
USDC-USD,USDCoin USD
DOGE-USD,Dogecoin USD
DOT1-USD,Polkadot USD
HEX-USD,HEX USD
UNI3-USD,Uniswap USD
BCH-USD,BitcoinCash USD
LTC-USD,Litecoin USD
LINK-USD,Chainlink USD
MATIC-USD,MaticNetwork USD
SOL1-USD,Solana USD
THETA-USD,THETA USD
XLM-USD,Stellar USD
ICP1-USD,InternetComputer USD
VET-USD,VeChain USD
ETC-USD,EthereumClassic USD
FIL-USD,FilecoinFutures USD
TRX-USD,TRON USD
XMR-USD,Monero USD
EOS-USD,EOS USD
AMP1-USD,Amp USD
AAVE-USD,Aave USD
SHIB-USD,SHIBAINU USD
ALGO-USD,Algorand USD
MKR-USD,Maker USD
TFUEL-USD,ThetaFuel USD
CRO-USD,CryptocomCoin USD
BSV-USD,BitcoinSV USD
LUNA1-USD,Terra USD
NEO-USD,NEO USD
XTZ-USD,Tezos USD
MIOTA-USD,IOTA USD
ATOM1-USD,Cosmos USD
CCXX-USD,CounosX USD
AVAX-USD,Avalanche USD
KSM-USD,Kusama USD
HBAR-USD,HederaHashgraph USD
TUSD-USD,TrueUSD USD
GRT2-USD,TheGraph USD
CTC1-USD,Creditcoin USD
BTT1-USD,BitTorrent USD
WAVES-USD,Waves USD
RUNE-USD,THORChain USD
CEL-USD,Celsius USD
DCR-USD,Decred USD
CHZ-USD,Chiliz USD
ZEC-USD,Zcash USD
DASH-USD,Dash USD
COMP-USD,Compound USD
YFI-USD,yearnfinance USD
EGLD-USD,Elrond USD
HOT1-USD,Holo USD
HNT1-USD,Helium USD
SUSHI-USD,Sushi USD
XEM-USD,NEM USD
ZIL-USD,Zilliqa USD
XWC-USD,WhiteCoin USD
ENJ-USD,EnjinCoin USD
BAT-USD,BasicAttentionToken USD
DFI-USD,DeFiChain USD
SNX-USD,SynthetixNetworkToken USD
QNT-USD,Quant USD
MANA-USD,Decentraland USD
STX1-USD,Stacks USD
XDC-USD,XinFinNetwork USD
BNT-USD,Bancor USD
ZEN-USD,Horizen USD
ARRR-USD,PirateChain USD
BTG-USD,BitcoinGold USD
NANO-USD,Nano USD
ONE2-USD,Harmony USD
DGB-USD,DigiByte USD
UMA-USD,UMA USD
QTUM-USD,Qtum USD
ONT-USD,Ontology USD
CRV-USD,CurveDAOToken USD
ZRX-USD,0x USD
OMG-USD,OmiseGO USD
ICX-USD,ICON USD
CELO-USD,Celo USD
AR-USD,Arweave USD
RVN-USD,Ravencoin USD
VGX-USD,VoyagerToken USD
SC-USD,Siacoin USD
ANKR-USD,Ankr USD
MIR1-USD,MirrorProtocol USD
BCD-USD,BitcoinDiamond USD
XVG-USD,Verge USD
CKB-USD,NervosNetwork USD
RSR-USD,ReserveRights USD
MAID-USD,MaidSafeCoin USD
IOST-USD,IOST USD
KNC-USD,KyberNetwork USD
HNC-USD,Helleniccoin USD
LRC-USD,Loopring USD
